"show","theater","week_date","this_week_gross","potential_gross","avg_ticket_price","top_ticket_price","seats_sold","seats_in_theater","performances","previews","capacity"
"'night, Mother","Royale Theatre",2005-01-02,185950,644317,52.16,86.25,3565,1078,8,0,41.34
"42nd Street","Ford Center for the Performing Arts",2005-01-02,1128583,1069078,78.11,101.25,14448,1813,8,0,99.61
"700 Sundays","Broadhurst Theatre",2005-01-02,815787,742094,97.11,101.25,8401,1186,7,0,101.19
"Avenue Q","John Golden Theatre",2005-01-02,553077,516205,86.85,201.25,6368,796,8,0,100
"Beauty and the Beast","Palace Theatre",2005-01-02,1044028,845808,86.47,100,12074,1509,8,0,100.02
"Bombay Dreams","Broadway Theatre",2005-01-02,912090,1229424,62.73,251.25,14540,1761,9,0,91.74
"Brooklyn","Plymouth Theatre",2005-01-02,435176,727492,76.36,100,5699,1044,8,0,68.24
"Chicago","Ambassador Theatre",2005-01-02,734434,716419,83.76,240,8768,1080,8,0,101.48
"Dame Edna: Back with a Vengeance","Music Box Theatre",2005-01-02,466781,595670,72.72,86.25,6419,999,8,0,80.32
"Democracy","Brooks Atkinson Theatre",2005-01-02,462857,742658,70.02,95,6610,1052,9,0,69.81
"Dracula, the Musical","Belasco Theatre",2005-01-02,462006,648149,62.42,101.25,7401,1029,8,0,89.91
"Fiddler on the Roof","Minskoff Theatre",2005-01-02,1145912,1205053,80.08,100,14309,1691,9,0,94.02
"Gem of the Ocean","Walter Kerr Theatre",2005-01-02,311520,539964,53.3,85,5845,939,8,0,77.81
"Golda's Balcony","Helen Hayes Theatre",2005-01-02,217744,449403,56.22,81.25,3873,589,8,0,82.19
"Hairspray","Neil Simon Theatre",2005-01-02,1095873,1088639,84.33,240,12995,1428,9,0,101.11
"La Cage aux Folles","Marquis Theatre",2005-01-02,880456,1171527,76.64,100,11488,1566,9,0,81.51
"Laugh Whore","Cort Theatre",2005-01-02,264181,472581,56.13,81.25,4707,1062,7,0,63.32
"Mamma Mia!","Broadhurst Theatre",2005-01-02,1130027,1033311,92.44,201.25,12225,1498,8,0,102.01
"Movin' Out","Richard Rodgers Theatre",2005-01-02,1003096,927234,87.56,240,11456,1322,9,0,96.29
"Pacific Overtures","Studio 54",2005-01-02,383017,453440,56.65,91.25,6761,923,8,0,91.56
"Rent","Nederlander Theatre",2005-01-02,683165,594831,62.75,85,10887,1181,9,0,102.43
"The Lion King","Minskoff Theatre",2005-01-02,1324447,1264960,90.81,100,14585,1801,8,0,101.23
"The Phantom of the Opera","Majestic Theatre",2005-01-02,976818,1002310,74.68,200,13080,1607,8,0,101.74
