Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2230581332,2.055485928,0.1869076305,17.06355004,21.18513773,-3.857808858,-1.655492522,-5.874439462,-0.4187817259,6.16194332,12.91393144,6.81314995,27.13683528,-6.828727173,-14.07505557,16.94905601,7.816428712,-4.687638978,-8.804935635,8.920466621,-17.5903165,0.6641758109,-0.415637599,7.611672202,18.50578004,-12.03318022,9.974455092,7.465254603,-0.9072642041,0.9233979791,5.253373308,4.399821673,-2.215282568,6.48977645,4.55871502,7.567071864,-3.767482788,
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.032510148,0.7659227982,0.4227812156,0.2549263615,1.135435753,0.352354121,0.5064620321,0.06224081392,0.1365991242,-0.0120568987,0.2825888442,0.2110112016,0.341443827,0.04739339833,0.3715516419,0.07369971756,0.2645701225,0.1492207314,0.2661455421,0.186701073,0.03387791304,0.4833979274,0.2760928849,0.3569570523,0.4981396319,0.9963734784,0.7816025046,2.045058437,1.570459239,2.405665622,1.533787319,4.773985183,2.471801362,2.4607828,1.84013978,2.041870012,1.272838314,2.472774813,3.216872321,2.628390538,1.669232244,1.884805442,2.588085336,2.239720925,2.831887699,3.194606209,2.019910148,1.062528912,1.338880087,1.495315461,1.429247354,5.039921294,1.780590156,1.879056724,
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004827600617,0.02416856791,1.30694987,1.278493252,3.577104201,4.368673104,3.413772973,1.935701714,0.4553604448,0.4518891456,1.20311799,0.2930251796,0.2854408936,0.2398011844,0.2096647947,0.8840004634,0.5166060845,0.2747967916,0.6615722178,0.1244959853,0.06499395718,0.1444669466,,,
Africa Western and Central,AFW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.783790576,1.884062266,1.907502745,1.756553577,1.050622907,1.695193138,0.8905235162,1.086546248,0.9592489264,0.8139376795,-0.1898168368,0.5417313722,0.4484175127,0.5080036566,0.258311344,0.6484768643,0.1871432459,0.9242808853,0.8753454835,2.471883373,0.8675906333,0.6446364222,0.9748297862,1.355046256,1.773250256,0.4563384083,0.4502934151,0.5883872812,0.6408785361,1.714409368,1.80110696,2.148721367,2.457504774,2.532871491,1.799825531,2.925964224,2.285026834,2.763438434,2.837522825,3.522921591,3.148729391,3.544789167,2.795339762,2.269307639,1.83619978,2.133300267,2.235357177,2.556356539,1.91395252,1.512229988,1.362541729,1.98293379,1.841048464,2.365502616,
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0.630975104,0.8837068699,2.086485073,1.803662496,1.095005676,3.68013758,3.308572716,1.471968449,1.493756423,1.96044201,-2.981428692,6.266630536,3.466087528,5.236863254,3.837036558,8.52948884,2.399001963,5.382316118,17.12161168,40.16724856,9.62386615,24.0090757,11.40619191,20.08101444,9.329239296,-3.526657179,-0.07200099635,-1.368762395,1.896313897,3.136660683,-3.8511115,-2.704873236,-1.143767779,-5.380130995,2.690005647,11.08133903,-0.3402428287,-10.03837678,-8.125891109,-5.780813143,-3.848263987,-6.548542276,-6.320563843,-2.497352736,-0.1688980689
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,3.066661599,4.893212106,2.817723791,2.409561582,2.785604685,2.070920499,1.730916179,1.254589945,3.989320711,5.107088686,2.990031159,3.068687302,4.607822786,3.178998145,3.553219138,5.867403518,9.406653201,10.90682015,9.01744998,8.083292858,7.495975133,9.80035898,8.648466357,8.62740637,8.711472254,7.714113363,7.831091461,7.70621465,7.018653013,6.757907216,7.579341584,6.883977284,6.307673584
Andorra,AND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.207102161,0.1135033329,0.4657866476,-0.9107542154,-2.317461175,0.9051821056,0.1968157599,0.3917135543,0.2472734787,-0.03987423063,-0.6809692937,1.486215381,2.637481763,1.3339226,1.469491697,0.4816106637,0.5928572263,0.002629999013,0.3892050609,0.2945178794,0.4786109701,0.4564070024,0.74765565,0.9096002817,0.9878318687,0.05816395728,0.6415542183,1.460053547,1.610148136,0.4584590321,0.5030694878,1.195012239,0.8249624938,1.758339139,2.164765414,3.168134364,3.971183603,3.803404342,2.587327352,2.221854151,2.117874276,1.320841794,1.554293203,1.25365946,0.8618606046,0.8523093576,1.912803648,1.213825311,1.525936174,1.22669094,1.28751686,2.262870713,2.112047871,2.448805528,
United Arab Emirates,ARE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.134132773,0.7383814511,0.742710556,0.08059096355,0.01398960738,0.1083506171,0.2572715948,0.451274584,0.1645372974,0.2068170879,0.2239492685,-0.03433777464,0.2038920141,0.1063936076,0.407195241,-0.5441875268,0.324685539,0.1284048841,0.520707069,0.09354878505,-0.2284353096,0.05031796373,0.2391629435,0.7214719491,0.1053197893,0.6081954671,0.4084748667,0.2948159859,0.340485312,-1.166835786,-0.4852815329,1.14589217,0.08678136623,3.422662711,6.767152113,6.034816041,5.765437532,5.500439717,1.604874607,0.4473673658,2.930409874,1.982108342,2.487363363,2.439895658,2.673603848,2.309335225,2.601119691,2.651415482,2.43186976,4.276339601,5.689844173,4.977884314,4.522601094,5.968823873,
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.2842242971,0.3774644775,0.2064895022,0.1907924783,0.02473881453,0.1060095983,0.4781754766,0.2536059593,0.2807428809,0.2974629202,0.8809551101,1.06384544,0.269252481,0.1779203589,0.2292262589,1.042530577,0.5421622146,-0.01746148829,0.9039308656,1.341515906,1.298879041,1.285578854,1.936794516,1.179802812,1.411953029,2.17392759,2.553203406,3.127877939,2.438768962,8.460582171,3.665790595,0.8061641348,2.198958195,1.294810869,2.505017516,2.649354415,2.381068545,2.251294236,2.689900965,1.206439226,2.675161719,2.044659979,2.8066719,1.779205536,0.9624066503,1.977134618,0.5847489412,1.789365041,2.232531577,1.485006876,1.266169243,1.368380832,2.402155349,3.69401868,1.805079879
